id,name,parent_id,level,description,image,meta_data,slug
100,Women Clothes,0,1,0,0,0,0
10010,Tops,100,2,0,0,0,0
1001010,Tanks & Camisoles,10010,3,0,0,0,0
1001011,Tube Tops,10010,3,0,0,0,0
1001012,T-shirts,10010,3,0,0,0,0
1001013,Shirts & Blouses,10010,3,0,0,0,0
1001014,Polo Shirts,10010,3,0,0,0,0
1001015,Bodysuits,10010,3,0,0,0,0
10011,Pants & Leggings,100,2,0,0,0,0
1001110,Leggings & Treggings,10011,3,0,0,0,0
1001111,Pants,10011,3,0,0,0,0
10012,Shorts,100,2,0,0,0,0
1001210,Shorts,10012,3,0,0,0,0
1001211,Skorts,10012,3,0,0,0,0
10013,Skirts,100,2,0,0,0,0
10014,Jeans,100,2,0,0,0,0
10015,Dresses,100,2,0,0,0,0
10016,Wedding Dresses,100,2,0,0,0,0
10017,"Jumpsuits, Playsuits & Overalls",100,2,0,0,0,0
1001710,Jumpsuits,10017,3,0,0,0,0
1001711,Playsuits,10017,3,0,0,0,0
1001712,Overalls,10017,3,0,0,0,0
10018,"Jackets, Coats & Vests",100,2,0,0,0,0
1001810,Winter Jackets & Coats,10018,3,0,0,0,0
1001811,Capes,10018,3,0,0,0,0
1001812,Blazers,10018,3,0,0,0,0
1001813,Jackets,10018,3,0,0,0,0
1001814,Vests,10018,3,0,0,0,0
10019,Sweaters & Cardigans,100,2,0,0,0,0
10020,Hoodies & Sweatshirts,100,2,0,0,0,0
1002010,Sweatshirts,10020,3,0,0,0,0
1002011,Hoodies,10020,3,0,0,0,0
10021,Sets,100,2,0,0,0,0
1002110,Couple Sets,10021,3,0,0,0,0
1002111,Family Sets,10021,3,0,0,0,0
1002112,Individual Sets,10021,3,0,0,0,0
10022,Lingerie & Underwear,100,2,0,0,0,0
1002210,Sets,10022,3,0,0,0,0
1002211,Bras,10022,3,0,0,0,0
1002212,Panties,10022,3,0,0,0,0
1002213,Thermal Innerwear,10022,3,0,0,0,0
1002214,Bra Accessories,10022,3,0,0,0,0
100221410,Straps,1002214,4,0,0,0,0
100221411,Paddings,1002214,4,0,0,0,0
100221412,Nipple Stickers,1002214,4,0,0,0,0
1002215,Shapewear,10022,3,0,0,0,0
1002216,Safety Pants,10022,3,0,0,0,0
1002217,Sexy Lingerie,10022,3,0,0,0,0
10023,Sleepwear & Pajamas,100,2,0,0,0,0
1002310,Pajamas,10023,3,0,0,0,0
1002311,Night Dresses,10023,3,0,0,0,0
1002312,Kimonos & Robes,10023,3,0,0,0,0
10024,Maternity Wear,100,2,0,0,0,0
1002410,Nursing Bras,10024,3,0,0,0,0
1002411,Maternity Dresses,10024,3,0,0,0,0
1002412,Maternity Tops,10024,3,0,0,0,0
1002413,Breastfeeding Wear,10024,3,0,0,0,0
1002414,Maternity Sets,10024,3,0,0,0,0
1002415,Maternity Bottoms,10024,3,0,0,0,0
10025,"	Traditional Wear",100,2,0,0,0,0
1002510,Tops,10025,3,0,0,0,0
1002511,Bottoms,10025,3,0,0,0,0
1002512,Sets,10025,3,0,0,0,0
1002513,Dresses,10025,3,0,0,0,0
1002514,Others,10025,3,0,0,0,0
10026,Costumes,100,2,0,0,0,0
10027,Fabric,100,2,0,0,0,0
1002710,Batik,10027,3,0,0,0,0
1002711,Kebaya,10027,3,0,0,0,0
1002712,Cotton,10027,3,0,0,0,0
1002713,Wool,10027,3,0,0,0,0
1002714,"Velvet, Silk & Satin",10027,3,0,0,0,0
1002715,Leather,10027,3,0,0,0,0
1002716,Vinyl & Nylon,10027,3,0,0,0,0
1002717,Denim,10027,3,0,0,0,0
1002718,Canvas,10027,3,0,0,0,0
1002719,Kain Pasang,10027,3,0,0,0,0
1002720,Songket,10027,3,0,0,0,0
10028,Socks & Stockings,100,2,0,0,0,0
1002810,Socks,10028,3,0,0,0,0
1002811,Pantyhose,10028,3,0,0,0,0
101,Men Clothes,0,1,0,0,0,0
10110,Jeans,101,2,0,0,0,0
10111,Hoodies & Sweatshirts,101,2,0,0,0,0
1011110,Hoodies,10111,3,0,0,0,0
1011111,Sweatshirts,10111,3,0,0,0,0
10112,Sweaters & Cardigans,101,2,0,0,0,0
10113,"Jackets, Coats & Vests",101,2,0,0,0,0
1011310,Winter Jackets & Coats,10113,3,0,0,0,0
1011311,Jackets,10113,3,0,0,0,0
1011312,Vests,10113,3,0,0,0,0
10114,Suits,101,2,0,0,0,0
1011410,Suit Sets,10114,3,0,0,0,0
1011411,Suit Jackets & Blazers,10114,3,0,0,0,0
1011412,Suit Pants,10114,3,0,0,0,0
1011413,Suit Vests & Waistcoats,10114,3,0,0,0,0
10115,Pants,101,2,0,0,0,0
1011510,Cargo,10115,3,0,0,0,0
1011511,Joggers,10115,3,0,0,0,0
1011512,Pants,10115,3,0,0,0,0
10116,Tops,101,2,0,0,0,0
1011610,Shirts,10116,3,0,0,0,0
1011611,Polo Shirts,10116,3,0,0,0,0
1011612,T-Shirts,10116,3,0,0,0,0
1011613,Tanks,10116,3,0,0,0,0
10117,Innerwear & Underwear,101,2,0,0,0,0
1011710,Underwear,10117,3,0,0,0,0
1011711,Undershirts,10117,3,0,0,0,0
1011712,Thermal Innerwear,10117,3,0,0,0,0
10118,Sleepwear,101,2,0,0,0,0
10119,Sets,101,2,0,0,0,0
10120,Traditional Wear,101,2,0,0,0,0
1012010,Tops,10120,3,0,0,0,0
1012011,Bottoms,10120,3,0,0,0,0
1012012,Sets,10120,3,0,0,0,0
10121,Costumes,101,2,0,0,0,0
10122,Occupational Attire,101,2,0,0,0,0
10123,Socks,101,2,0,0,0,0
102,Beauty,0,1,0,0,0,0
10210,"Hand, Foot & Nail Care",102,2,0,0,0,0
1021010,Nail Care,10210,3,0,0,0,0
102101010,Artificial Nail,1021010,4,0,0,0,0
102101011,Nail Art & Sticker,1021010,4,0,0,0,0
102101012,Manicure Tools & Devices,1021010,4,0,0,0,0
10211,Men's Care,102,2,0,0,0,0
1021110,Shaving & Grooming,10211,3,0,0,0,0
102111010,Razors & Blades,1021110,4,0,0,0,0
102111011,Shaving Accessories,1021110,4,0,0,0,0
10212,Makeup,102,2,0,0,0,0
1021210,Face,10212,3,0,0,0,0
102121010,Blush,1021210,4,0,0,0,0
10213,Beauty Tools,102,2,0,0,0,0
1021310,Makeup Accessories,10213,3,0,0,0,0
102131010,Makeup Bags & Organizers,1021310,4,0,0,0,0
102131011,Mirrors,1021310,4,0,0,0,0
102131012,Makeup Brush Cleaners,1021310,4,0,0,0,0
102131013,Sponges & Applicators,1021310,4,0,0,0,0
102131014,Eyelash Curlers,1021310,4,0,0,0,0
102131015,Eyebrow Templates,1021310,4,0,0,0,0
102131016,False Eyelashes,1021310,4,0,0,0,0
102131017,Pencil Sharpeners,1021310,4,0,0,0,0
1021311,Facial Care Tools,10213,3,0,0,0,0
102131110,Facial Steamers,1021311,4,0,0,0,0
102131111,Facial Slimming & Massage Tools,1021311,4,0,0,0,0
102131112,Facial Cleansing Tools,1021311,4,0,0,0,0
1021312,Body Slimming Tools,10213,3,0,0,0,0
1021313,Hair Removal Tools,10213,3,0,0,0,0
1021314,Hair Tools,10213,3,0,0,0,0
102131410,Brushes & Combs,1021314,4,0,0,0,0
102131411,Hair Styling Appliances,1021314,4,0,0,0,0
102131412,Heatless Styling Tools,1021314,4,0,0,0,0
102131413,Others,1021314,4,0,0,0,0
1021315,Others,10213,3,0,0,0,0
103,Health,0,1,0,0,0,0
10310,Medical Supplies,103,2,0,0,0,0
1031010,Health Monitors & Tests,10310,3,0,0,0,0
103101010,Blood Glucose Monitors,1031010,4,0,0,0,0
103101011,Pulse Oximeters,1031010,4,0,0,0,0
103101012,Thermometers,1031010,4,0,0,0,0
103101013,Others,1031010,4,0,0,0,0
1031011,Scale & Body Fat Analyzers,10310,3,0,0,0,0
1031012,Stethoscopes,10310,3,0,0,0,0
1031013,Laboratory Tools,10310,3,0,0,0,0
1031014,Injury & Disability Support,10310,3,0,0,0,0
103101410,Walking Aids,1031014,4,0,0,0,0
103101411,Wheelchairs,1031014,4,0,0,0,0
103101412,Braces & Supports,1031014,4,0,0,0,0
103101413,Hearing Aids,1031014,4,0,0,0,0
10311,Personal Care,103,2,0,0,0,0
1031110,Eye Care,10311,3,0,0,0,0
1031111,Oral Care,10311,3,0,0,0,0
103111110,Denture Care,1031111,4,0,0,0,0
103111111,Orthodontic Accessories,1031111,4,0,0,0,0
103111112,Others,1031111,4,0,0,0,0
1031112,Feminine Care,10311,3,0,0,0,0
1031113,Massage & Therapy Devices,10311,3,0,0,0,0
